(0x400fc0a0, 0x400fc15d)
(0x400cd880, 0x400cd8f6)
(0x400d4234, 0x400d449a)
(0x400da1d0, 0x400da24b)
(0x400d4fce, 0x400d5000)
(0x400dd5f8, 0x400dd8a5)
(0x40097be2, 0x40097c67)
(0x4011791c, 0x40117a84)
(0x400c5fce, 0x400c5fd3)
(0x400e9e06, 0x400e9e33)
(0x4000ff82, 0x4000ffac)
(0x400f859e, 0x400f862d)
(0x400f8af2, 0x400f8ba2)
(0x40079f86, 0x40079fec)
(0x400cd258, 0x400cd6f2)
(0x400f862e, 0x400f88ba)
(0x400c24ee, 0x400c24f9)
(0x4006f50e, 0x4006f525)
(0x400d9c38, 0x400d9ed0)
(0x400e904a, 0x400e90cd)
(0x400224ca, 0x40022558)
(0x400e401a, 0x400e4133)
(0x400b78a4, 0x400b79f0)
(0x40036c8e, 0x40036e04)
(0x400e5278, 0x400e57b8)
(0x4000c5c2, 0x4000c602)
(0x400d93d0, 0x400d947c)
(0x400c369a, 0x400c3785)
(0x400dd8a6, 0x400dd932)
(0x400e3ff8, 0x400e4003)
(0x400f8f72, 0x400f8fa1)
(0x40104eaa, 0x40104ebf)
(0x400e437a, 0x400e43b4)
(0x400c4000, 0x400c4062)
(0x400b727c, 0x400b72b1)
(0x4009d100, 0x4009d152)
(0x40061024, 0x4006103a)
(0x40002d86, 0x40002dec)
(0x400e6836, 0x400e761f)
(0x400da69c, 0x400da6a9)
(0x4000e7fa, 0x4000e982)
(0x40046782, 0x4004681b)
(0x400d19dc, 0x400d1b15)
(0x4010057e, 0x401005e2)
(0x40104470, 0x401045c3)
(0x400a6726, 0x400a67ab)
(0x400ccd2e, 0x400ccda9)
(0x400f88ba, 0x400f8916)
(0x400cf32c, 0x400d18a6)
(0x40058806, 0x40058965)
(0x4009dde8, 0x4009dfa6)
(0x400ee396, 0x400ee67b)
(0x400f0994, 0x400f0b0f)
(0x400fa35e, 0x400fa3ce)
(0x400cd8f6, 0x400cdc19)
(0x400c98c2, 0x400c994f)
(0x4007f804, 0x4007fcc3)
(0x400c2032, 0x400c2047)
(0x400b7a7e, 0x400b7a8a)
(0x400d7500, 0x400d7515)
(0x400fa9b0, 0x400fab6a)
(0x400ce960, 0x400ceb7c)
(0x400fbb7e, 0x400fbcdd)
(0x400a30c6, 0x400a31a9)
(0x4000171e, 0x40001776)
(0x40053b14, 0x40053ba3)
(0x40013b46, 0x40013bf5)
(0x400c560a, 0x400c5654)
(0x400e3bcc, 0x400e3c20)
(0x400f0f34, 0x400f1095)
(0x400f440e, 0x400f458f)
(0x400ce35a, 0x400ce439)
(0x400737f8, 0x40073809)
(0x400d5000, 0x400d50c4)
(0x4011736a, 0x4011748b)
(0x400f4ce4, 0x400f4e1b)
(0x400c96ac, 0x400c96ae)
(0x400f95ee, 0x400f98b3)
(0x400a3b4c, 0x400a4982)
(0x400ce59a, 0x400ce7f5)
(0x400d8bde, 0x400d8d25)
(0x401254fc, 0x40125555)
(0x400216d2, 0x4002172a)
(0x400c9d20, 0x400c9e08)
(0x40010044, 0x4001267a)
(0x4003d4c4, 0x4003d572)
(0x400eb096, 0x400ed7ea)
(0x400b7000, 0x400b70b0)
(0x400ce458, 0x400ce533)
(0x4010d83c, 0x4010d84c)
(0x401096e8, 0x40109712)
(0x40002dfc, 0x40002e16)
(0x400209a6, 0x40020a67)
(0x400f7b06, 0x400f7c92)
(0x4007f198, 0x4007f207)
(0x400207d4, 0x400207e6)
(0x4008df14, 0x4008df38)
(0x40116c90, 0x40116f5a)
(0x4007f3d8, 0x4007f3ef)
(0x40000ace, 0x40000af2)
(0x4003dd78, 0x4003dd99)
(0x400d7cbe, 0x400d7e9b)
(0x40043b42, 0x40043bd5)
(0x40104000, 0x40104002)
(0x40126978, 0x40126b4d)
(0x400b88b0, 0x400b88ea)
(0x40010000, 0x40010044)
(0x400c24dc, 0x400c24ed)
(0x40128ab2, 0x40128ad3)
(0x40117686, 0x401176c9)
(0x400ce534, 0x400ce599)
(0x40104e2a, 0x40104eaa)
(0x4007b000, 0x4007b031)
(0x4000b3e2, 0x4000b3ea)
(0x40111fc0, 0x40111fc8)
(0x400ab062, 0x400ab0cb)
