(0x38be0, 0x38ef0)
(0x3f0d0, 0x3f980)
(0x158e0, 0x158f0)
(0x272f0, 0x275f0)
(0x131a0, 0x131c0)
(0x2ed30, 0x2ed50)
(0x1fc10, 0x1fc20)
(0x19840, 0x19b60)
(0x2f000, 0x2f1a0)
(0x3cd80, 0x3e840)
(0x2a180, 0x2a8f0)
(0x4a7ec, 0x4acac)
(0x11000, 0x11fa0)
(0x20240, 0x20250)
(0x394e0, 0x39590)
(0x31c50, 0x31d60)
(0x4c00c, 0x4c22c)
(0x13bc0, 0x13ca0)
(0x2ce60, 0x2d290)
(0x3eab0, 0x3eb50)
(0x20870, 0x20aa0)
(0x295c0, 0x295d0)
(0x4a210, 0x4a240)
(0x31000, 0x31360)
(0x4ee0c, 0x4f0ec)
(0x20cf0, 0x20d10)
(0x42c50, 0x439e0)
(0x13000, 0x131a0)
(0x3a020, 0x3b5e0)
(0x31360, 0x31370)
(0x158f0, 0x15990)
(0x2d760, 0x2d7c0)
(0x1fb00, 0x1fb10)
(0x2b0b0, 0x2b0c0)
(0x2b140, 0x2b150)
(0x51000, 0x511d0)
(0x4ceac, 0x4cf0c)
(0x41ee0, 0x42000)
(0x35620, 0x35840)
(0x42000, 0x42070)
(0x21560, 0x215f0)
(0x2f370, 0x30a50)
(0x2ccc0, 0x2cd70)
(0x35aa0, 0x35e50)
(0x15000, 0x15520)
(0x4c25c, 0x4cd6c)
(0x3fe60, 0x41b50)
(0x3eb50, 0x3ede0)
(0x295d0, 0x295e0)
(0x3c530, 0x3c550)
(0x4a2b0, 0x4a3a0)
(0x29810, 0x29830)
(0x29930, 0x29940)
(0x4f0ec, 0x4f88c)
(0x31370, 0x31810)
(0x36430, 0x36470)
(0x37860, 0x38b10)
(0x2eba0, 0x2ec10)
(0x131c0, 0x131f0)
(0x36550, 0x36580)
(0x2b0c0, 0x2b100)
(0x365e0, 0x374a0)
(0x2ed50, 0x2eee0)
(0x19740, 0x197f0)
(0x2b150, 0x2b160)
(0x2b1e0, 0x2b500)
(0x210f0, 0x21130)
(0x17000, 0x18340)
(0x23a70, 0x23a90)
(0x122a0, 0x122c0)
(0x19ce0, 0x19d00)
(0x20260, 0x20280)
(0x3f9f0, 0x3fb60)
(0x1eec0, 0x1eee0)
(0x39590, 0x397a0)
(0x35990, 0x359a0)
(0x46000, 0x460d0)
(0x42520, 0x42550)
(0x502a0, 0x50520)
(0x439e0, 0x43d10)
(0x22eb0, 0x22ec0)
(0x4d69c, 0x4ecdc)
(0x10190, 0x101b0)
(0x28000, 0x28810)
(0x32180, 0x32190)
(0x2a8f0, 0x2a910)
(0x19000, 0x19740)
(0x295e0, 0x29620)
(0x2ab30, 0x2afb0)
(0x24760, 0x24780)
(0x29940, 0x29c40)
(0x376c0, 0x376d0)
(0x27290, 0x272b0)
(0x2afb0, 0x2afc0)
(0x29ca0, 0x29cc0)
(0x2b160, 0x2b1a0)
(0x224a0, 0x22a50)
(0x458c0, 0x45a70)
(0x45a70, 0x45bc0)
(0x1d6b0, 0x1d710)
(0x2a000, 0x2a180)
(0x31920, 0x31c50)
(0x511d0, 0x512e0)
(0x3bbc0, 0x3be10)
(0x19c60, 0x19ce0)
(0x45d40, 0x45f10)
(0x343c0, 0x34460)
(0x21610, 0x216c0)
(0x359a0, 0x35aa0)
(0x4bf1c, 0x4c00c)
(0x2cd70, 0x2ce20)
(0x32190, 0x323e0)
(0x4a000, 0x4a210)
(0x39b40, 0x39e10)
(0x4a240, 0x4a250)
(0x36060, 0x36430)
(0x2d3a0, 0x2d3c0)
(0x3c550, 0x3cc30)
(0x20ae0, 0x20b40)
(0x507c0, 0x50a00)
(0x39e10, 0x39e20)
(0x2d550, 0x2d680)
(0x1d000, 0x1d620)
(0x376d0, 0x37860)
(0x27180, 0x271a0)
(0x4b50c, 0x4b9bc)
(0x2afc0, 0x2b080)
(0x2d820, 0x2d830)
(0x38ef0, 0x39250)
(0x197f0, 0x19800)
(0x23a90, 0x23aa0)
(0x31810, 0x31920)
(0x27720, 0x27840)
(0x27840, 0x278f0)
(0x4a70c, 0x4a74c)
(0x39250, 0x39260)
(0x4cf6c, 0x4d00c)
(0x122c0, 0x123c0)
(0x22a50, 0x22a90)
(0x3f980, 0x3f9f0)
(0x34460, 0x34850)
(0x20280, 0x20830)
(0x3be10, 0x3c2c0)
(0x45f90, 0x46000)
(0x1f000, 0x1fa70)
(0x4acac, 0x4ad5c)
(0x10000, 0x10010)
(0x1c950, 0x1c970)
(0x34850, 0x35620)
(0x101b0, 0x101c0)
(0x2a910, 0x2a920)
(0x2d290, 0x2d3a0)
(0x1cd40, 0x1cd60)
(0x323e0, 0x343c0)
(0x4a250, 0x4a2b0)
(0x374a0, 0x376c0)
(0x24780, 0x24790)
(0x38b10, 0x38be0)
(0x4a520, 0x4a640)
(0x2d680, 0x2d760)
(0x4a640, 0x4a70c)
(0x2d830, 0x2d860)
(0x131f0, 0x13bc0)
(0x36580, 0x365e0)
(0x41bc0, 0x41d10)
(0x19800, 0x19820)
(0x12000, 0x12090)
(0x1fd80, 0x1fda0)
(0x39260, 0x394d0)
(0x4d00c, 0x4d69c)
(0x3bb50, 0x3bbc0)
(0x50000, 0x50020)
(0x45f10, 0x45f90)
(0x2ce20, 0x2ce30)
(0x10010, 0x10030)
(0x13ca0, 0x13ce0)
(0x42550, 0x42700)
(0x32000, 0x32180)
(0x3e950, 0x3eab0)
(0x4ae6c, 0x4af9c)
(0x42700, 0x42c20)
(0x39a40, 0x39b40)
(0x2a920, 0x2a9e0)
(0x21cf0, 0x21d10)
(0x14000, 0x14370)
(0x2d3c0, 0x2d550)
(0x271a0, 0x27290)
(0x36470, 0x36550)
(0x50bd0, 0x50e60)
(0x29c40, 0x29ca0)
(0x29cd0, 0x29d00)
(0x2b100, 0x2b140)
(0x3cc30, 0x3cd80)
(0x45bc0, 0x45d40)
(0x278f0, 0x27900)
(0x16000, 0x16ed0)
(0x2ce30, 0x2ce60)
(0x460d0, 0x477f0)
(0x3e840, 0x3e950)
(0x50250, 0x502a0)
(0x1c970, 0x1cc60)
(0x4ad5c, 0x4ae6c)
(0x35e50, 0x36060)
(0x20840, 0x20860)
(0x50520, 0x507c0)
(0x4af9c, 0x4b41c)
(0x45000, 0x458c0)
(0x3ede0, 0x3f0d0)
(0x14370, 0x14390)
(0x42c20, 0x42c50)
(0x4b41c, 0x4b50c)
(0x2d7c0, 0x2d820)
(0x2b080, 0x2b090)
(0x288b0, 0x28960)
(0x41b50, 0x41bc0)
(0x2b1a0, 0x2b1e0)
(0x4b9bc, 0x4bf1c)
(0x4cf0c, 0x4cf6c)
(0x2b500, 0x2b6c0)
(0x4f88c, 0x4f9dc)
(0x14c70, 0x14c80)
(0x20220, 0x20240)
(0x29000, 0x295c0)
(0x3fb60, 0x3fe60)
(0x21890, 0x21960)
(0x50140, 0x50250)
(0x12800, 0x128d0)
(0x39820, 0x39a40)
(0x10030, 0x10090)
(0x4c22c, 0x4c25c)
(0x3c2c0, 0x3c530)
(0x29630, 0x296c0)
(0x21da0, 0x21f50)
(0x297e0, 0x29810)
(0x4a3a0, 0x4a4c0)
(0x43f40, 0x445e0)
(0x4a4c0, 0x4a520)
(0x3a000, 0x3a020)
(0x2d860, 0x2da60)
(0x3b5e0, 0x3bb50)
(0x2b090, 0x2b0b0)
(0x24cc0, 0x24d90)
(0x41d10, 0x41da0)
(0x4cd6c, 0x4ceac)
(0x41da0, 0x41ee0)
(0x4a74c, 0x4a7ec)
(0x2f1a0, 0x2f370)
(0x1c480, 0x1c5f0)
(0x42070, 0x42520)
(0x14c80, 0x14ca0)
(0x2b6c0, 0x2cbb0)
(0x35840, 0x35990)
(0x22a90, 0x22cd0)
(0x394d0, 0x394e0)
(0x2cca0, 0x2ccc0)
(0x30a50, 0x30a60)
(0x397a0, 0x39820)
(0x20860, 0x20870)
(0x2a9e0, 0x2ab30)
(0x4ecdc, 0x4ee0c)
(0x43d10, 0x43f40)
(0x20aa0, 0x20ab0)
