(0x6dd7d, 0x6e000)
(0x57254, 0x572a0)
(0x69fab, 0x6a000)
(0x77950, 0x779d3)
(0x4ef53, 0x4ef65)
(0x4e5cb, 0x4e7ab)
(0x5c000, 0x5c093)
(0x641bf, 0x641ef)
(0x56184, 0x561e0)
(0x2aece, 0x2af1f)
(0x4fbe2, 0x4fcc0)
(0x3c593, 0x3c5a2)
(0x572a0, 0x572cb)
(0x56888, 0x568d5)
(0x547de, 0x5482b)
(0x4bcce, 0x4bcda)
(0x548a5, 0x548df)
(0x596aa, 0x596f1)
(0x722eb, 0x72323)
(0x5184b, 0x518dc)
(0x64137, 0x64146)
(0x4fe15, 0x4fe23)
(0x55137, 0x551c7)
(0x2af2f, 0x2af37)
(0x551c7, 0x551f4)
(0x2c306, 0x2c30b)
(0x54c1a, 0x54c6f)
(0x46a66, 0x46a92)
(0x4f000, 0x4f0d7)
(0x24005, 0x2408b)
(0x2c62f, 0x2c67c)
(0x6002f, 0x600b4)
(0x53aba, 0x53ace)
(0x74ae5, 0x74b85)
(0x2af7b, 0x2afe2)
(0x4ec3a, 0x4ed35)
(0x22000, 0x22087)
(0x778d0, 0x778e5)
(0x4d37d, 0x4d512)
(0x55d82, 0x55d9f)
(0x63001, 0x630f1)
(0x6c215, 0x6c293)
(0x5f3a8, 0x5f56c)
(0x778e5, 0x77950)
(0x546ce, 0x54720)
(0x5a02d, 0x5a135)
(0x631e8, 0x63288)
(0x5e593, 0x5e5b0)
(0x5029d, 0x504bd)
(0x36f14, 0x36f32)
(0x6fc8f, 0x6fcd1)
(0x5a1bb, 0x5a280)
(0x561e0, 0x561eb)
(0x5c093, 0x5c203)
(0x55e3c, 0x56000)
(0x5562d, 0x55649)
(0x5f259, 0x5f313)
(0x24000, 0x24005)
(0x721b9, 0x72243)
(0x5724a, 0x57251)
(0x2c608, 0x2c62f)
(0x548df, 0x548e7)
(0x55d9f, 0x55da2)
(0x66206, 0x66249)
(0x434ea, 0x4355e)
(0x4f0d7, 0x4f20f)
(0x5a50e, 0x5b000)
(0x6079c, 0x6082c)
(0x6082c, 0x608dc)
(0x53000, 0x53aba)
